rmse,mae,r2,r2_naive,r2_folds,label,n,features
26.024256356646244,17.98050421478636,0.5375116200963187,-0.1547361270690436,"[0.463, 0.534, 0.616]",day1 xgb,30224,222
26.642434659474556,18.41980917738282,0.5132042659451846,-0.1547361270690436,"[0.417, 0.528, 0.595]",day1 lgb,30224,222
26.214970619129886,18.10293424609107,0.5299815098899089,-0.1547361270690436,"[0.448, 0.534, 0.609]",day1 blend,30224,222
26.129297196847034,17.95761977009857,0.5277669676879096,-0.1547361270690436,"[0.404, 0.537, 0.642]",day1 blend log1p,30224,222
29.79508612481691,21.351521198476053,0.3904638471404589,-0.5312529050240357,"[0.252, 0.415, 0.504]",day2 xgb,30224,222
30.068229702874927,21.649469650261764,0.3822926771781125,-0.5312529050240357,"[0.271, 0.423, 0.453]",day2 lgb,30224,222
29.820720533062087,21.408512315083872,0.391056025203708,-0.5312529050240357,"[0.267, 0.422, 0.484]",day2 blend,30224,222
29.719191418325,21.331127713666675,0.39026561318722913,-0.5312529050240357,"[0.227, 0.43, 0.513]",day2 blend log1p,30224,222
30.797698324255474,22.211892283568925,0.3505042333553741,-0.6909192586140295,"[0.197, 0.397, 0.458]",day3 xgb,30224,222
31.01090049230582,22.42662828864216,0.3406665663793045,-0.6909192586140295,"[0.18, 0.4, 0.442]",day3 lgb,30224,222
30.81375010663427,22.23732187055386,0.34962122481510916,-0.6909192586140295,"[0.195, 0.401, 0.453]",day3 blend,30224,222
31.008894528265447,22.45906502995889,0.3347090450320051,-0.6909192586140295,"[0.126, 0.393, 0.486]",day3 blend log1p,30224,222
