rmse,mae,r2,r2_naive,r2_folds,label,n,features
16.182018788046378,10.038544854825382,0.8255853292305986,0.7142517973787683,"[0.856, 0.77, 0.85]",24h A no-disp history-only,30366,146
15.54813113445519,9.622399636794777,0.8381573623627978,0.7142602511015301,"[0.879, 0.764, 0.872]",24h A no-disp +future-weather,30360,157
13.717060663826969,8.792600392244148,0.8692266359737961,0.7142602511015301,"[0.899, 0.778, 0.931]",24h A no-disp +future-weather delta,30360,157
15.941315831194482,9.832485163021321,0.8300024003365536,0.7143618531654798,"[0.858, 0.767, 0.865]",24h B disp history-only,30342,165
14.874695416306546,9.032318332457395,0.8486378171994557,0.7119784901108602,"[0.876, 0.768, 0.902]",24h B disp +future-weather,30312,189
13.544510687764538,8.471419337393343,0.8721346507584955,0.7119784901108602,"[0.896, 0.79, 0.931]",24h B disp +future-weather delta,30312,189
28.86464232395977,20.57346705879066,0.44374665196281543,0.22332519315881053,"[0.424, 0.384, 0.524]",48h A no-disp history-only,30342,146
26.766855923691622,19.07887277779365,0.5214995326985322,0.22332801352307127,"[0.542, 0.39, 0.632]",48h A no-disp +future-weather,30336,157
27.962191818922737,18.92378739395871,0.47474625318876296,0.22332801352307127,"[0.58, 0.208, 0.636]",48h A no-disp +future-weather delta,30336,157
29.15639706446832,20.751024476776937,0.4327616840783697,0.22337049705878076,"[0.41, 0.379, 0.509]",48h B disp history-only,30318,165
26.292185921015232,18.635109207263977,0.5296777473217688,0.21189345095277992,"[0.501, 0.45, 0.638]",48h B disp +future-weather,30264,189
26.9438499131892,17.86761974948799,0.5064041114364448,0.21189345095277992,"[0.573, 0.284, 0.662]",48h B disp +future-weather delta,30264,189
32.252807085693355,23.558845001532408,0.30484777747157465,-0.010271569284213985,"[0.223, 0.286, 0.405]",72h A no-disp history-only,30318,146
29.579576105324573,21.340451639450162,0.42146678641388385,-0.010232452013929194,"[0.436, 0.319, 0.509]",72h A no-disp +future-weather,30312,157
31.1326407337867,21.447999622139637,0.35177317008924086,-0.010232452013929194,"[0.424, 0.072, 0.558]",72h A no-disp +future-weather delta,30312,157
32.129765483097316,23.453978279752743,0.31131589762697814,-0.01080720335325617,"[0.236, 0.305, 0.392]",72h B disp history-only,30294,165
29.15431687553969,21.065578675076083,0.41946197149308456,-0.03207501540409744,"[0.339, 0.395, 0.525]",72h B disp +future-weather,30216,189
29.91454758372795,20.526294225323266,0.3891967828388749,-0.03207501540409744,"[0.411, 0.164, 0.593]",72h B disp +future-weather delta,30216,189
