label,rmse,mae,r2,r2_naive,r2_folds
24h D1 daily-AQI  direct,26.159421957597115,17.98050421478636,0.5375116200963187,-0.1547361270690436,"[0.463, 0.534, 0.616]"
24h D2 AQI-at-t+h direct,25.075207068355244,16.415844709091765,0.6480877656138703,0.4891560105660899,"[0.631, 0.547, 0.766]"
24h D2 AQI-at-t+h two-stage,26.25202942821971,17.066678435232337,0.6150353692864627,0.4891560105660899,"[0.598, 0.496, 0.751]"
48h D1 daily-AQI  direct,29.90113363024836,21.35152119847605,0.3904638471404589,-0.5312529050240357,"[0.252, 0.415, 0.504]"
48h D2 AQI-at-t+h direct,29.98738086930843,20.546281711806593,0.4979929249392277,0.17448193404462195,"[0.492, 0.406, 0.596]"
48h D2 AQI-at-t+h two-stage,31.851469509333143,21.917695075426774,0.4151285368649537,0.17448193404462195,"[0.287, 0.333, 0.625]"
72h D1 daily-AQI  direct,30.926152528801506,22.197101117476674,0.34795738090216854,-0.6908171477247712,"[0.193, 0.397, 0.454]"
72h D2 AQI-at-t+h direct,31.07231464173446,21.955776042553737,0.45491991851804814,0.03268020367055435,"[0.403, 0.394, 0.568]"
72h D2 AQI-at-t+h two-stage,33.25619571111124,23.52492857719102,0.34804554856583464,0.03268020367055435,"[0.113, 0.337, 0.594]"
