rmse,mae,r2,r2_naive,r2_folds,label,n,features
27.96585092795151,19.5487090453293,0.4712970928115274,-0.1386786086008127,"[0.393, 0.48, 0.541]",day1 history-only,30340,165
25.65271262395062,17.690301198005802,0.550802634861636,-0.14460621468804993,"[0.462, 0.542, 0.648]",day1 +future-weather,30312,189
26.356955051056143,17.661044746941126,0.5318570466602959,-0.14460621468804993,"[0.547, 0.374, 0.675]",day1 +future-weather delta,30312,189
35.42499020066074,25.78743827907769,0.1550837206500251,-0.5112914692241125,"[0.035, 0.197, 0.234]",day2 history-only,30316,165
30.132739168587676,21.67274500416626,0.3820589257209384,-0.5254301229243686,"[0.268, 0.399, 0.48]",day2 +future-weather,30264,189
32.37378191170362,22.557801629511065,0.29846762467332133,-0.5254301229243686,"[0.307, 0.148, 0.441]",day2 +future-weather delta,30264,189
36.75697997016238,26.848392602171533,0.0951306088417007,-0.673938202029901,"[0.003, 0.109, 0.173]",day3 history-only,30292,165
31.740117324122153,23.09472614073148,0.31241319703305803,-0.691689691903627,"[0.169, 0.332, 0.436]",day3 +future-weather,30216,189
33.972570220805096,24.0765290166687,0.22032452481054007,-0.691689691903627,"[0.141, 0.118, 0.401]",day3 +future-weather delta,30216,189
